flow_time_s,q1_rad,q2_rad,q3_rad,j1_mx,j1_center_x_m,j1_axis_x,j1_my,j1_center_y_m,j1_axis_y,j1_mz,j1_center_z_m,j1_axis_z,j1_torque_nm,j2_mx,j2_center_x_m,j2_axis_x,j2_my,j2_center_y_m,j2_axis_y,j2_mz,j2_center_z_m,j2_axis_z,j2_torque_nm,j3_mx,j3_center_x_m,j3_axis_x,j3_my,j3_center_y_m,j3_axis_y,j3_mz,j3_center_z_m,j3_axis_z,j3_torque_nm,step_index,minimum_fluid_cell_volume_m3,step_elapsed_s
0.01,-3.2297540775558474e-05,-5.3829234625930794e-05,-5.9212158088523875e-05,5.870276519052569,-0.745634,0.0,-1.558518341172207,1.155872,1.0,0.2760199918793011,-1.14224,0.0,-1.558518341172207,10.16803089549975,-0.7285817420353203,-0.9999999994784344,-2.691813269285532,1.206372,0.0,0.8335266045296652,-1.172038370860658,-3.229754076994338e-05,-10.168057811055947,-5.856636010387281,-0.7297939129582619,0.9999999994784344,-1.35114672538728,1.009500426824596,0.0,-1.393444311381432,-1.232045969029659,3.229754076994338e-05,-5.856681012157119,1,3.12421792490814e-14,11.598063707351685
0.02,-0.0001291821941673033,-0.00021530365694550553,-0.00023683402264005607,3.997804196261123e+32,-0.745634,0.0,-1.311389613295647e+33,1.155872,1.0,2.139434699603633e+31,-1.14224,0.0,-1.311389613295647e+33,6.443005396197244e+32,-0.7285778671667796,-0.9999999916559804,2.81796968463555e+31,1.206372,0.0,-2.767796660708595e+32,-1.172036214471086,-0.00012918219380800373,-6.442647792392036e+32,5.414879253024465e+30,-0.7297827934376707,0.9999999916559804,2.233710056792506e+30,1.009512492015107,0.0,6.698532559617238e+30,-1.232086679875469,0.00012918219380800373,5.415744538973952e+30,2,3.124217925116897e-14,68.37749314308167
0.03,-0.00029063005533675764,-0.0004843834255612628,-0.0005328217681173891,5.602853770738237e+34,-0.745634,0.0,-2.339885103643558e+35,1.155872,1.0,2.429524113929341e+34,-1.14224,0.0,-2.339885103643558e+35,1.696919644710994e+32,-0.7285720565812654,-0.9999999577670857,9.168100986512697e+31,1.206372,0.0,-9.73450095181193e+32,-1.172032979613666,-0.0002906300512453729,-1.6940904345346586e+32,5.354047777192289e+31,-0.7297660974111599,0.9999999577670857,1.689193244847479e+31,1.00953060327935,0.0,5.612048195729633e+31,-1.232147726020749,0.0002906300512453729,5.355678580929964e+31,3,3.12421792532711e-14,21.600695610046387
