flow_time_s,q1_rad,q2_rad,q3_rad,j1_mx,j1_center_x_m,j1_axis_x,j1_my,j1_center_y_m,j1_axis_y,j1_mz,j1_center_z_m,j1_axis_z,j1_torque_nm,j2_mx,j2_center_x_m,j2_axis_x,j2_my,j2_center_y_m,j2_axis_y,j2_mz,j2_center_z_m,j2_axis_z,j2_torque_nm,j3_mx,j3_center_x_m,j3_axis_x,j3_my,j3_center_y_m,j3_axis_y,j3_mz,j3_center_z_m,j3_axis_z,j3_torque_nm,step_index,minimum_fluid_cell_volume_m3,step_elapsed_s
0.01,-3.2297540775558474e-05,-5.3829234625930794e-05,-5.9212158088523875e-05,-0.001921496174189236,-0.745634,0.0,0.005576895866500989,1.155872,1.0,-0.001332022648097197,-1.14224,0.0,0.005576895866500989,-0.005667885412259533,-0.7288201264322021,-0.9999999994784344,0.005216821822174346,1.206372,0.0,-0.004050487043346041,-1.172170976175699,-3.229754076994338e-05,0.00566801623007378,0.01247606386305342,-0.730476985195292,0.9999999994784344,0.002227720891908969,1.008759044106883,0.0,0.005451439884943622,-1.229541313797792,3.229754076994338e-05,0.012476239924648273,1,3.124217920142001e-14,15.471179008483887
0.02,-0.0001291821941673033,-0.00021530365694550553,-0.00023683402264005607,-7.54659194510043e-05,-0.745634,0.0,0.007197585957886225,1.155872,1.0,-0.002513800488803808,-1.14224,0.0,0.007197585957886225,-0.004786618309654265,-0.7288162515636614,-0.9999999916559804,0.00627886875016549,1.206372,0.0,-0.006725192229780281,-1.172168819786126,-0.00012918219380800373,0.004787487044800652,0.01088584386276858,-0.7304658656747008,0.9999999916559804,0.002448708230038331,1.008771109297394,0.0,0.005384787308712262,-1.229582024643603,0.00012918219380800373,0.010886539390574615,2,3.124217919810476e-14,14.127066850662231
0.03,-0.00029063005533675764,-0.0004843834255612628,-0.0005328217681173891,-0.001962606338650362,-0.745634,0.0,0.007355574239152719,1.155872,1.0,-0.003376710117954253,-1.14224,0.0,0.007355574239152719,-0.0064159647538171,-0.7288104409781472,-0.9999999577670857,0.006363991173799674,1.206372,0.0,-0.007573985454008725,-1.172165584928707,-0.0002906300512453729,0.006418165710632841,0.01042394963704675,-0.7304491696481901,0.9999999577670857,0.002414130349664299,1.008789220561637,0.0,0.004756966602005419,-1.229643070788883,0.0002906300512453729,0.010425331714260293,3,3.124217920114816e-14,12.8934645652771
0.04,-0.0005166012894399712,-0.0008610021490666188,-0.0009471023639732807,-0.001744155515511264,-0.745634,0.0,0.00773597045924348,1.155872,1.0,-0.003726600724689113,-1.14224,0.0,0.00773597045924348,-0.006787537393535913,-0.7288026967357031,-0.9999998665615568,0.006851235792398417,1.206372,0.0,-0.008080864315931385,-1.172161271277067,-0.0005166012664618138,0.006791711072557206,0.01345712901681523,-0.7304268770542031,0.9999998665615568,0.00269904110062472,1.008813394048112,0.0,0.004816801998747538,-1.229724428078055,0.0005166012664618138,0.013459615587129733,4,3.124217919711067e-14,14.596740484237671
0.05,-0.0008070401414561884,-0.0013450669024269808,-0.0014795735926696788,-0.001434551939290585,-0.745634,0.0,0.008516373740198795,1.155872,1.0,-0.003590306785645669,-1.14224,0.0,0.008516373740198795,-0.00693437171793707,-0.7287930215818653,-0.9999996743431228,0.007553752382988588,1.206372,0.0,-0.00833712941883149,-1.172155878398212,-0.0008070400538501291,0.0069410978570863605,0.01515968696245444,-0.7303989611992913,0.9999996743431228,0.003008962730569784,1.008843651245394,0.0,0.005821802331533711,-1.229826064291339,0.0008070400538501291,0.015164380453265269,5,3.124217919672334e-14,11.428357601165771
0.06,-0.001161874949944612,-0.0019364582499076868,-0.0021301040748984558,-0.001706292806865762,-0.745634,0.0,0.008930965319027229,1.155872,1.0,-0.003576957208035871,-1.14224,0.0,0.008930965319027229,-0.00724368581784417,-0.7287814189466435,-0.9999993250233763,0.007844265505042426,1.206372,0.0,-0.008558455533889935,-1.172149405754373,-0.0011618746885317898,0.0072536247813833245,0.01494523965174653,-0.7303653888054551,0.9999993250233763,0.003088545748082968,1.008880018945543,0.0,0.006274566205926689,-1.229947939134312,0.0011618746885317898,0.014952519823715314,6,3.124217919912816e-14,15.8726327419281
