flow_time_s,q1_rad,q2_rad,q3_rad,j1_mx,j1_center_x_m,j1_axis_x,j1_my,j1_center_y_m,j1_axis_y,j1_mz,j1_center_z_m,j1_axis_z,j1_torque_nm,j2_mx,j2_center_x_m,j2_axis_x,j2_my,j2_center_y_m,j2_axis_y,j2_mz,j2_center_z_m,j2_axis_z,j2_torque_nm,j3_mx,j3_center_x_m,j3_axis_x,j3_my,j3_center_y_m,j3_axis_y,j3_mz,j3_center_z_m,j3_axis_z,j3_torque_nm,step_index,minimum_fluid_cell_volume_m3,step_elapsed_s
0.01,-3.2297540775558474e-05,-5.3829234625930794e-05,-5.9212158088523875e-05,0.1378680620009064,-0.745634,0.0,-6.699374899605613,1.155872,1.0,2.574025218979128,-1.14224,0.0,-6.699374899605613,0.26453655466688,-0.7287332146919018,-0.9999999994784344,-4.374237680262134,1.206372,0.0,6.673722080261924,-1.172122414446028,-3.229754076994338e-05,-0.26475209933988136,-0.2349975382337764,-0.7302241449768243,0.9999999994784344,-1.057132465732851,1.009032645041388,0.0,-4.521331672652975,-1.230454105631824,3.229754076994338e-05,-0.23514356600524172,1,3.124217920026628e-14,9.906554698944092
0.02,-0.0001291821941673033,-0.00021530365694550553,-0.00023683402264005607,0.07791666962326106,-0.745634,0.0,-2.048542765213925,1.155872,1.0,0.9587131302551959,-1.14224,0.0,-2.048542765213925,0.1929042741640563,-0.7287293398233611,-0.9999999916559804,-1.336734749829892,1.206372,0.0,2.268224658702569,-1.172120258056456,-0.00012918219380800373,-0.1931972867919199,-0.1991536983360984,-0.7302130254562331,0.9999999916559804,-0.3186933646001008,1.009044710231899,0.0,-1.174441657280026,-1.230494816477635,0.00012918219380800373,-0.19930541362414297,2,3.124217919550732e-14,9.895377159118652
0.03,-0.00029063005533675764,-0.0004843834255612628,-0.0005328217681173891,0.1047400725993061,-0.745634,0.0,-1.006016354751784,1.155872,1.0,0.4322489270373524,-1.14224,0.0,-1.006016354751784,0.2287369386107866,-0.7287235292378469,-0.9999999577670857,-0.6866907471901786,1.206372,0.0,1.071039372905675,-1.172117023199036,-0.0002906300512453729,-0.22904820517839247,-0.2092458142680369,-0.7301963294297223,0.9999999577670857,-0.1836195331546464,1.009062821496142,0.0,-0.6235805821031217,-1.230555862622914,0.0002906300512453729,-0.20942703668750862,3,3.12421791941442e-14,8.55698275566101
0.04,-0.0005166012894399712,-0.0008610021490666188,-0.0009471023639732807,1035.210707891457,-0.745634,0.0,119.864580501947,1.155872,1.0,203.2874374215815,-1.14224,0.0,119.864580501947,224.8945875032078,-0.7287157849954028,-0.9999998665615568,170.0788462348373,1.206372,0.0,-159.7571152380242,-1.172112709547396,-0.0005166012664618138,-224.8120267655659,624.3408055061959,-0.7301740368357353,0.9999998665615568,78.27299939285048,1.009086994982617,0.0,262.4067988951673,-1.230637219912087,0.0005166012664618138,624.4762818797683,4,3.124217918869856e-14,14.314628839492798
0.05,-0.0008070401414561884,-0.0013450669024269808,-0.0014795735926696788,-5.229470806762607e+27,-0.745634,0.0,2.330923620391905e+27,1.155872,1.0,-5.354502892531925e+27,-1.14224,0.0,2.330923620391905e+27,-1.717017235710923e+19,-0.728706109841565,-0.9999996743431228,1.01115391997274e+19,1.206372,0.0,-3.035255110695934e+18,-1.172107316668541,-0.0008070400538501291,1.7172616337972505e+19,5906441373860.505,-0.7301461209808235,0.9999996743431228,326493538136.736,1.009117252179899,0.0,-21191898098431.2,-1.230738856125371,0.0008070400538501291,5889336739804.707,5,3.124217919318319e-14,35.49012637138367
0.06,-0.001161874949944612,-0.0019364582499076868,-0.0021301040748984558,-3.722640903724287e+30,-0.745634,0.0,-1.893683800824307e+30,1.155872,1.0,-5.266356105958604e+30,-1.14224,0.0,-1.893683800824307e+30,3.878346056615962e+18,-0.7286945072063432,-0.9999993250233763,1.935901763361179e+19,1.206372,0.0,-3.553174980534364e+17,-1.172100844024702,-0.0011618746885317898,-3.877930604415655e+18,15768236034520.61,-0.7301125485869874,0.9999993250233763,1038675710492.896,1.009153619880048,0.0,-52295373966869.4,-1.230860730968344,0.0011618746885317898,15707464719990.479,6,3.124217918732591e-14,4.245577812194824
0.07,-0.0015810181647257456,-0.0026350302745429097,-0.0028985333019972007,3.662790396884841e+31,-0.745634,0.0,8.097161327244997e+31,1.155872,1.0,-8.535038336220142e+31,-1.14224,0.0,8.097161327244997e+31,-5.70080264391884e+21,-0.7286809812029449,-0.9999987501910418,7.952799105179115e+21,1.206372,0.0,-6.624489717592899e+21,-1.172093290975654,-0.0015810175060688022,5.711268953216914e+21,26519909879638.67,-0.7300732798507851,0.9999987501910418,1894096006344.642,1.009196130132935,0.0,-84954397810200.78,-1.231002796059086,0.0015810175060688022,26385562344662.273,7,3.124217918959303e-14,4.761591672897339
0.08,-0.0020643663684831296,-0.0034406106141385497,-0.0037846716755524047,-7.191475772531442e+40,-0.745634,0.0,1.320188293041167e+40,1.155872,1.0,-1.327640820436223e+41,-1.14224,0.0,1.320188293041167e+40,-3.880831975145376e+40,-0.7286655366262431,-0.999997869196505,-3.173546649287543e+40,1.206372,0.0,-4.17208052925219e+40,-1.172084656781478,-0.002064364902229897,3.8894364024689046e+40,1.48164288484941e+20,-0.7300282685141648,0.999997869196505,-3.403005284214873e+18,1.00924482019155,0.0,2.4777578984178e+19,-1.231164994913021,0.002064364902229897,1.4821512274037444e+20,8,3.124217918385269e-14,15.917988300323486
