flow_time_s,q1_rad,q2_rad,q3_rad,j1_mx,j1_center_x_m,j1_axis_x,j1_my,j1_center_y_m,j1_axis_y,j1_mz,j1_center_z_m,j1_axis_z,j1_torque_nm,j2_mx,j2_center_x_m,j2_axis_x,j2_my,j2_center_y_m,j2_axis_y,j2_mz,j2_center_z_m,j2_axis_z,j2_torque_nm,j3_mx,j3_center_x_m,j3_axis_x,j3_my,j3_center_y_m,j3_axis_y,j3_mz,j3_center_z_m,j3_axis_z,j3_torque_nm,step_index,minimum_fluid_cell_volume_m3,step_elapsed_s
0.01,-3.2297540775558474e-05,-5.3829234625930794e-05,-5.9212158088523875e-05,-0.001314670674256663,-0.745634,0.0,0.005457410227436801,1.155872,1.0,-0.001336529269268807,-1.14224,0.0,0.005457410227436801,-0.005015226133424685,-0.7289014169588803,-0.9999999994784344,0.005021593536958637,1.206372,0.0,-0.004142827645518761,-1.172216273298512,-3.229754076994338e-05,0.005015359933953699,0.01151433620073521,-0.7307112907925645,0.9999999994784344,0.002104910783583063,1.008505034634112,0.0,0.005179989481522334,-1.228687344230636,3.229754076994338e-05,0.011514503495651196,1,3.124217922766835e-14,8.501614093780518
0.02,-0.0001291821941673033,-0.00021530365694550553,-0.00023683402264005607,-0.0008303729117649975,-0.745634,0.0,0.006183310176626547,1.155872,1.0,-0.003142456729728418,-1.14224,0.0,0.006183310176626547,-0.005328693399612117,-0.7288975420903396,-0.9999999916559804,0.005524818786758948,1.206372,0.0,-0.006778275055576904,-1.17221411690894,-0.00012918219380800373,0.005329568987591308,0.01083680115013652,-0.7307001712719733,0.9999999916559804,0.002232077098981075,1.008517099824622,0.0,0.003513401781165479,-1.228728055076447,0.00012918219380800373,0.010837254928663859,2,3.124217922652578e-14,6.9470367431640625
0.03,-0.00029063005533675764,-0.0004843834255612628,-0.0005328217681173891,-0.002103903492113217,-0.745634,0.0,0.007319918209837458,1.155872,1.0,-0.003277488233245288,-1.14224,0.0,0.007319918209837458,-0.006530864990206694,-0.7288917315048254,-0.9999999577670857,0.006357657097447243,1.206372,0.0,-0.007393178720925872,-1.17221088205152,-0.0002906300512453729,0.006533013394299762,0.01098682108233565,-0.7306834752454625,0.9999999577670857,0.002473363367579148,1.008535211088865,0.0,0.00480615009009239,-1.228789101221726,0.0002906300512453729,0.010988217429977153,3,3.124217922273943e-14,6.845258474349976
0.04,-0.0005166012894399712,-0.0008610021490666188,-0.0009471023639732807,-0.001418088121312247,-0.745634,0.0,0.008017189107160056,1.155872,1.0,-0.003341575711036761,-1.14224,0.0,0.008017189107160056,-0.006423142204917238,-0.7288839872623813,-0.9999998665615568,0.007017130828572908,1.206372,0.0,-0.00784858402704211,-1.172206568399881,-0.0005166012664618138,0.006427195936271444,0.01309635386959358,-0.7306611826514755,0.9999998665615568,0.002762766530531119,1.00855938457534,0.0,0.00551408081767291,-1.228870458510899,0.0005166012664618138,0.013099200703170291,4,3.124217921958518e-14,6.417365789413452
0.05,-0.0008070401414561884,-0.0013450669024269808,-0.0014795735926696788,-0.001581241565599156,-0.745634,0.0,0.008356224480451412,1.155872,1.0,-0.003406975691147972,-1.14224,0.0,0.008356224480451412,-0.006848860459810555,-0.7288743121085436,-0.9999996743431228,0.007373793269062654,1.206372,0.0,-0.008034453472716089,-1.172201175521025,-0.0008070400538501291,0.006855342355195322,0.01445200390961053,-0.7306332667965637,0.9999996743431228,0.002929602503416461,1.008589641772623,0.0,0.005906800762387896,-1.228972094724183,0.0008070400538501291,0.014456766228021427,5,3.12421792257678e-14,6.11137056350708
0.06,-0.001161874949944612,-0.0019364582499076868,-0.0021301040748984558,-0.001667546146997792,-0.745634,0.0,0.008731570732153695,1.155872,1.0,-0.003396463180164693,-1.14224,0.0,0.008731570732153695,-0.007113025260345764,-0.7288627094733218,-0.9999993250233763,0.007671637137215169,1.206372,0.0,-0.008257569057820215,-1.172194702877186,-0.0011618746885317898,0.007122614719697074,0.01505847706918103,-0.7305996944027275,0.9999993250233763,0.003067508431946954,1.008626009472771,0.0,0.006375750741360598,-1.229093969567156,0.0011618746885317898,0.015065874728467793,6,3.124217921968086e-14,6.080142974853516
