flow_time_s,q1_rad,q2_rad,q3_rad,j1_mx,j1_center_x_m,j1_axis_x,j1_my,j1_center_y_m,j1_axis_y,j1_mz,j1_center_z_m,j1_axis_z,j1_torque_nm,j2_mx,j2_center_x_m,j2_axis_x,j2_my,j2_center_y_m,j2_axis_y,j2_mz,j2_center_z_m,j2_axis_z,j2_torque_nm,j3_mx,j3_center_x_m,j3_axis_x,j3_my,j3_center_y_m,j3_axis_y,j3_mz,j3_center_z_m,j3_axis_z,j3_torque_nm,step_index,minimum_fluid_cell_volume_m3,step_elapsed_s
0.01,-3.2297540775558474e-05,-5.3829234625930794e-05,-5.9212158088523875e-05,0.02785174872561149,-0.745634,0.0,-2.928485430338282,1.155872,1.0,1.128037599193918,-1.14224,0.0,-2.928485430338282,0.05758701557561262,-0.7289420622222195,-0.9999999994784344,-1.880774751975115,1.206372,0.0,2.950281890390404,-1.172238921859919,-3.229754076994338e-05,-0.05768230239521492,-0.05689940976052243,-0.7308284435912007,0.9999999994784344,-0.4653251251276907,1.008378029897726,0.0,-2.050874646193874,-1.228260359447058,3.229754076994338e-05,-0.056965647938345146,1,3.124217921927048e-14,11.203535318374634
0.02,-0.0001291821941673033,-0.00021530365694550553,-0.00023683402264005607,0.01219537581454197,-0.745634,0.0,-0.9794715846033513,1.155872,1.0,0.4839362021495111,-1.14224,0.0,-0.9794715846033513,0.04203419970505431,-0.7289381873536788,-0.9999999916559804,-0.6227233818969641,1.206372,0.0,1.118089202357706,-1.172236765470347,-0.00012918219380800373,-0.042178636570353735,-0.05395752212612714,-0.7308173240706095,0.9999999916559804,-0.1490907332112342,1.008390095088237,0.0,-0.5672313241799531,-1.228301070292869,0.00012918219380800373,-0.054030797862758696,2,3.124217922196644e-14,10.16384768486023
0.03,-0.00029063005533675764,-0.0004843834255612628,-0.0005328217681173891,0.0415248041501278,-0.745634,0.0,-0.488896437757327,1.155872,1.0,0.2368722983994953,-1.14224,0.0,-0.488896437757327,0.08028579245178216,-0.7289323767681646,-0.9999999577670857,-0.3237060618364431,1.206372,0.0,0.5477242520083757,-1.172233530612927,-0.0002906300512453729,-0.0804449741885087,-0.06505838918282422,-0.7308006280440987,0.9999999577670857,-0.08580742995933893,1.00840820635248,0.0,-0.2946355722425253,-1.228362116438148,0.0002906300512453729,-0.0651440163866784,3,3.124217922451405e-14,9.9263334274292
0.04,-0.0005166012894399712,-0.0008610021490666188,-0.0009471023639732807,0.04659540000444626,-0.745634,0.0,-0.2685613418877881,1.155872,1.0,0.1083654107052409,-1.14224,0.0,-0.2685613418877881,0.08598513639152267,-0.7289246325257205,-0.9999998665615568,-0.1869935051684795,1.206372,0.0,0.2758052490705401,-1.172229216961288,-0.0005166012664618138,-0.08612760625876659,-0.0717071433202901,-0.7307783354501117,0.9999998665615568,-0.0562362520715181,1.008432379838955,0.0,-0.1832051878736871,-1.228443473727321,0.0005166012664618138,-0.07180177778387845,4,3.124217923268461e-14,8.755614280700684
0.05,-0.0008070401414561884,-0.0013450669024269808,-0.0014795735926696788,0.04016093116619793,-0.745634,0.0,-0.1725000962644002,1.155872,1.0,0.05335724927585558,-1.14224,0.0,-0.1725000962644002,0.07272351345933895,-0.7289149573718827,-0.9999996743431228,-0.1229631626752203,1.206372,0.0,0.1613591945487664,-1.172223824082432,-0.0008070400538501291,-0.07285371310948449,-0.06408666430866422,-0.7307504195951999,0.9999996743431228,-0.04019550288785593,1.008462637036237,0.0,-0.132013715593049,-1.228545109940605,0.0008070400538501291,-0.06419318379454242,5,3.124217923280903e-14,8.947277307510376
0.06,-0.001161874949944612,-0.0019364582499076868,-0.0021301040748984558,0.02834114832672733,-0.745634,0.0,-0.1416317087816331,1.155872,1.0,0.03799838963090381,-1.14224,0.0,-0.1416317087816331,0.0519525642345213,-0.7289033547366609,-0.9999993250233763,-0.0986737595247284,1.206372,0.0,0.1289765339323582,-1.172217351438593,-0.0011618746885317898,-0.052102383737945464,-0.06144270473656908,-0.7307168472013638,0.9999993250233763,-0.03290610714157204,1.008499004736386,0.0,-0.1132079224483819,-1.228666984783578,0.0011618746885317898,-0.061574196683813726,6,3.12421792296258e-14,10.77960205078125
0.07,-0.0015810181647257456,-0.0026350302745429097,-0.0028985333019972007,0.01522071155713017,-0.745634,0.0,-0.1348145796251573,1.155872,1.0,0.05679306812950076,-1.14224,0.0,-0.1348145796251573,0.02074142691231067,-0.7288898287332626,-0.9999987501910418,-0.08431144495821714,1.206372,0.0,0.1495888133219403,-1.172209798389545,-0.0015810175060688022,-0.020977903522063555,-0.04996938740676413,-0.7306775784651615,0.9999987501910418,-0.02570203824265419,1.008541514989273,0.0,-0.09126111400568462,-1.22880904987432,0.0015810175060688022,-0.050113610373442447,7,3.124217923164209e-14,10.561225891113281
0.08,-0.0020643663684831296,-0.0034406106141385497,-0.0037846716755524047,0.008095815923000363,-0.745634,0.0,-0.1910125094673783,1.155872,1.0,0.09703011508367256,-1.14224,0.0,-0.1910125094673783,-0.02132133083688933,-0.7288743841565608,-0.999997869196505,-0.1004476948193967,1.206372,0.0,0.2373734048989463,-1.17220116419537,-0.002064364902229897,0.020831260079526875,-0.05116604877644296,-0.7306325671285412,0.999997869196505,-0.02541134904800882,1.008590205047887,0.0,-0.09924129096592141,-1.228971248728255,0.002064364902229897,-0.05137080998956943,8,3.124217922612918e-14,10.287398099899292
