flow_time_s,q1_rad,q2_rad,q3_rad,j1_mx,j1_center_x_m,j1_axis_x,j1_my,j1_center_y_m,j1_axis_y,j1_mz,j1_center_z_m,j1_axis_z,j1_torque_nm,j2_mx,j2_center_x_m,j2_axis_x,j2_my,j2_center_y_m,j2_axis_y,j2_mz,j2_center_z_m,j2_axis_z,j2_torque_nm,j3_mx,j3_center_x_m,j3_axis_x,j3_my,j3_center_y_m,j3_axis_y,j3_mz,j3_center_z_m,j3_axis_z,j3_torque_nm,step_index,minimum_fluid_cell_volume_m3,step_elapsed_s
0.01,-3.2297540775558474e-05,-5.3829234625930794e-05,-5.9212158088523875e-05,1.167857501065838,-0.745634,0.0,-1.714413838231972,1.155872,1.0,0.6607340767633192,-1.14224,0.0,-1.714413838231972,2.15335204309912,-0.7288724463787802,-0.9999999994784344,-1.484930651199957,1.206372,0.0,1.631799593737166,-1.172200086055289,-3.229754076994338e-05,-2.153404745089913,-1.759860909849728,-0.7306270107197419,0.9999999994784344,-0.5565321407022492,1.008596234945613,0.0,-1.189129020124896,-1.228991608175314,3.229754076994338e-05,-1.7598993148748534,1,3.12421792246275e-14,11.112889051437378
0.02,-0.0001291821941673033,-0.00021530365694550553,-0.00023683402264005607,0.4695895998825087,-0.745634,0.0,-0.4756215981702431,1.155872,1.0,0.1818403585932672,-1.14224,0.0,-0.4756215981702431,0.8862599164090791,-0.7288685715102395,-0.9999999916559804,-0.460871489146045,1.206372,0.0,0.4441647849900197,-1.172197929665716,-0.00012918219380800373,-0.8863172871954462,-0.397695699221107,-0.7306158911991507,0.9999999916559804,-0.1546994140712246,1.008608300136124,0.0,-0.2860871973566258,-1.229032319021124,0.00012918219380800373,-0.3977326532745012,2,3.124217921946271e-14,9.378456354141235
0.03,-0.00029063005533675764,-0.0004843834255612628,-0.0005328217681173891,-0.1220335897689582,-0.745634,0.0,-0.2880528834482144,1.155872,1.0,0.1070633167647585,-1.14224,0.0,-0.2880528834482144,-0.22284485668721,-0.7288627609247254,-0.9999999577670857,-0.1422160450388532,1.206372,0.0,0.2916654767202758,-1.172194694808297,-0.0002906300512453729,0.22276008052337654,0.4337899302496341,-0.7305991951726399,0.9999999577670857,0.008851629920051146,1.008626411400367,0.0,-0.1739581726743598,-1.229093365166404,0.0002906300512453729,0.43373935445678224,3,3.124217922002477e-14,8.393049001693726
0.04,-0.0005166012894399712,-0.0008610021490666188,-0.0009471023639732807,-0.1917337725366697,-0.745634,0.0,-0.2203489133218142,1.155872,1.0,0.07172269339480687,-1.14224,0.0,-0.2203489133218142,-0.3172472743019477,-0.7288550166822813,-0.9999998665615568,-0.08479308924533753,1.206372,0.0,0.2246682628576729,-1.172190381156657,-0.0005166012664618138,0.31713116805983926,0.3341644093498005,-0.7305769025786529,0.9999998665615568,0.01468283732840111,1.008650584886842,0.0,-0.1459887687327826,-1.229174722455577,0.0005166012664618138,0.3340889467766054,4,3.124217923308493e-14,8.619231939315796
0.05,-0.0008070401414561884,-0.0013450669024269808,-0.0014795735926696788,-0.1276038600420547,-0.745634,0.0,-0.1122556724594898,1.155872,1.0,-0.00811830877956687,-1.14224,0.0,-0.1122556724594898,-0.168955983306127,-0.7288453415284435,-0.9999996743431228,-0.04343438927589957,1.206372,0.0,0.08097760499844076,-1.172184988277802,-0.0008070400538501291,0.1688905761137505,0.1297607087869606,-0.7305489867237411,0.9999996743431228,0.0001224002799973035,1.008680842084125,0.0,-0.10228918219414,-1.229276358668861,0.0008070400538501291,0.12967811506238713,5,3.124217923205995e-14,8.392910242080688
0.06,-0.001161874949944612,-0.0019364582499076868,-0.0021301040748984558,-0.07274305579829368,-0.745634,0.0,0.03851847850468817,1.155872,1.0,-0.2079101891116065,-1.14224,0.0,0.03851847850468817,-0.07909841911898548,-0.7288337388932217,-0.9999993250233763,0.04701614458144713,1.206372,0.0,-0.2001245324138587,-1.172178515633963,-0.0011618746885317898,0.07933088535816753,0.06109973226506429,-0.730515414329905,0.9999993250233763,-0.001239176320317644,1.008717209784273,0.0,-0.0916211821018571,-1.229398233511833,0.0011618746885317898,0.06099323869175578,6,3.124217923224495e-14,8.321513891220093
0.07,-0.0015810181647257456,-0.0026350302745429097,-0.0028985333019972007,0.2796026343965821,-0.745634,0.0,1.01939898228644,1.155872,1.0,-1.613187392451755,-1.14224,0.0,1.01939898228644,0.2416477477774548,-0.7288202128898233,-0.9999987501910418,0.6901769360967333,1.206372,0.0,-2.192781745947351,-1.172170962584915,-0.0015810175060688022,-0.238180619436604,0.04846706834997627,-0.7304761455937027,0.9999987501910418,0.03986355413314555,1.00875972003716,0.0,-0.03858698231219562,-1.229540298602575,0.0015810175060688022,0.04840600108085812,7,3.124217922649432e-14,9.007476806640625
0.08,-0.0020643663684831296,-0.0034406106141385497,-0.0037846716755524047,1.405302046376789,-0.745634,0.0,4.564378588817712,1.155872,1.0,-7.067462391261372,-1.14224,0.0,4.564378588817712,1.19221291782734,-0.7288047683131216,-0.999997869196505,3.017660715153793,1.206372,0.0,-9.801887996689722,-1.172162328390739,-0.002064364902229897,-1.171975703899933,0.06948442506802287,-0.7304311342570824,0.999997869196505,0.1410094839794356,1.008808410095775,0.0,0.001002583766109205,-1.229702497456511,0.002064364902229897,0.06948634670910538,8,3.124217923228716e-14,8.077485084533691
