flow_time_s,q1_rad,q2_rad,q3_rad,j1_mx,j1_center_x_m,j1_axis_x,j1_my,j1_center_y_m,j1_axis_y,j1_mz,j1_center_z_m,j1_axis_z,j1_torque_nm,j2_mx,j2_center_x_m,j2_axis_x,j2_my,j2_center_y_m,j2_axis_y,j2_mz,j2_center_z_m,j2_axis_z,j2_torque_nm,j3_mx,j3_center_x_m,j3_axis_x,j3_my,j3_center_y_m,j3_axis_y,j3_mz,j3_center_z_m,j3_axis_z,j3_torque_nm,step_index,minimum_fluid_cell_volume_m3,step_elapsed_s
0.01,-3.2297540775558474e-05,-5.3829234625930794e-05,-5.9212158088523875e-05,1.655309701738198,-0.745634,0.0,0.7273692271844463,1.155872,1.0,-0.3573362500280468,-1.14224,0.0,0.7273692271844463,2.94734280368954,-0.728802830535341,-0.9999999994784344,-0.04994011280569735,1.206372,0.0,-0.9356524659963165,-1.172161250250658,-3.229754076994338e-05,-2.9473125828786406,-2.132427167133085,-0.7304255778482831,0.9999999994784344,-0.2669028452621158,1.008814439993501,0.0,0.416742721281448,-1.229722856903569,3.229754076994338e-05,-2.1324137062558535,1,3.12421792281882e-14,12.19581151008606
0.02,-0.0001291821941673033,-0.00021530365694550553,-0.00023683402264005607,0.666509423865749,-0.745634,0.0,0.4397412776054401,1.155872,1.0,-0.3085137405812247,-1.14224,0.0,0.4397412776054401,1.238326176928393,-0.7287989556668003,-0.9999999916559804,0.05212572775554603,1.206372,0.0,-0.6492059192932831,-1.172159093861086,-0.00012918219380800373,-1.2382423007508878,-0.5683314986546183,-0.7304144583276919,0.9999999916559804,-0.06551898582092991,1.008826505184012,0.0,0.2046086731020235,-1.229763567749379,0.00012918219380800373,-0.5683050621151857,2,3.12421792227086e-14,11.674349069595337
0.03,-0.00029063005533675764,-0.0004843834255612628,-0.0005328217681173891,-0.2057222982796565,-0.745634,0.0,0.1124123647370019,1.155872,1.0,-0.1215227666069989,-1.14224,0.0,0.1124123647370019,-0.387696359705867,-0.7287931450812861,-0.9999999577670857,0.1479496976906874,1.206372,0.0,-0.1784619828445997,-1.172155859003666,-0.0002906300512453729,0.3877482097475394,0.672860796802272,-0.7303977623011811,0.9999999577670857,0.1006682439753347,1.008844616448255,0.0,0.04524636631183977,-1.229824613894659,0.0002906300512453729,0.6728739183391595,3,3.124217921803189e-14,11.040881872177124
0.04,-0.0005166012894399712,-0.0008610021490666188,-0.0009471023639732807,-0.3004390036397417,-0.745634,0.0,-0.009039701356342335,1.155872,1.0,-0.02889006277208731,-1.14224,0.0,-0.009039701356342335,-0.5123616587758347,-0.728785400838842,-0.9999998665615568,0.09435702717515738,1.206372,0.0,0.01381892026822698,-1.172151545352027,-0.0005166012664618138,0.512354451535381,0.5615377168978689,-0.7303754697071941,0.9999998665615568,0.08448807512371236,1.00886878993473,0.0,-0.007944662461269049,-1.229905971183832,0.0005166012664618138,0.561533537744461,4,3.124217922422155e-14,11.682206869125366
0.05,-0.0008070401414561884,-0.0013450669024269808,-0.0014795735926696788,-0.1242242540434713,-0.745634,0.0,0.1062189433948418,1.155872,1.0,-0.1504230231271041,-1.14224,0.0,0.1062189433948418,-0.207198621641835,-0.7287757256850043,-0.9999996743431228,0.1255967081323633,1.206372,0.0,-0.173008598052551,-1.172146152473171,-0.0008070400538501291,0.20733817903446777,0.2715008928077,-0.7303475538522823,0.9999996743431228,0.05194549291268811,1.008899047132012,0.0,0.01721732250365652,-1.230007607397116,0.0008070400538501291,0.2715146994604476,5,3.124217922547554e-14,8.763344526290894
0.06,-0.001161874949944612,-0.0019364582499076868,-0.0021301040748984558,0.1890001258040586,-0.745634,0.0,0.5288983735139082,1.155872,1.0,-0.7529406888044493,-1.14224,0.0,0.5288983735139082,0.179373964069905,-0.7287641230497824,-0.9999993250233763,0.3745266050512965,1.206372,0.0,-1.026209064206885,-1.172139679829332,-0.0011618746885317898,-0.17818151665982845,0.1137166569654593,-0.7303139814584462,0.9999993250233763,0.04382430088139072,1.008935414832161,0.0,0.0225702943974613,-1.230129482240089,0.0011618746885317898,0.11374280406314724,6,3.124217922000607e-14,8.269062757492065
0.07,-0.0015810181647257456,-0.0026350302745429097,-0.0028985333019972007,1.127590285176218,-0.745634,0.0,2.249186828066741,1.155872,1.0,-3.252777553702336,-1.14224,0.0,2.249186828066741,1.139132793552303,-0.7287505970463841,-0.9999987501910418,1.469447664922906,1.206372,0.0,-4.571216483269426,-1.172132126780284,-0.0015810175060688022,-1.1319041965698537,0.05257783370235235,-0.7302747127222439,0.9999987501910418,0.09030298990513827,1.008977925085047,0.0,0.06956884703860255,-1.230271547330831,0.0015810175060688022,0.05268775755514983,7,3.1242179213879e-14,8.208420515060425
0.08,-0.0020643663684831296,-0.0034406106141385497,-0.0037846716755524047,4.625382506242489,-0.745634,0.0,8.130971661854428,1.155872,1.0,-11.74898854339209,-1.14224,0.0,8.130971661854428,4.485760143377207,-0.7287351524696823,-0.999997869196505,5.265846803834412,1.206372,0.0,-16.67979572057131,-1.172123492586109,-0.002064364902229897,-4.451317400241904,0.03333342419563887,-0.7302297013856236,0.999997869196505,0.247016700878077,1.009026615143662,0.0,0.1797804894372915,-1.230433746184766,0.002064364902229897,0.03370448570116214,8,3.124217921456993e-14,10.216352462768555
