Split,CaseId,Joint,RMSE_Nm,MAE_Nm,MaxAbsError_Nm,NRMSE_TrainStd,R2,ReferenceAbsPeak_Nm,PredictedAbsPeak_Nm,AbsPeakError_Nm,AbsPeakError_percent
train,0,1,0.00199244619664414,0.0015631965989564,0.00947293305118638,0.00292231395489594,0.999991459477152,1.66082493343468,1.66114119999095,0.000316266556268596,0.0190427389366403
train,0,2,0.00135977600585669,0.00105961334431037,0.00648923224481179,0.0034754143652472,0.999987920640721,1.44466126837552,1.44540142336107,0.000740154985552799,0.0512338083504573
train,0,3,0.00073186629668382,0.000573456116612803,0.00320943551120556,0.00996205455626642,0.999900750449955,0.724047344565748,0.7237027538751,0.000344590690647406,0.0475922870560456
validation,0,1,0.00528616753268172,0.00376324633520926,0.030371792185454,0.00775320366225815,0.999939079554002,1.61277437926485,1.60983634893239,0.00293803033245332,0.182172433430681
validation,0,2,0.00455768623839635,0.00303670830519303,0.0261037479649391,0.0116488658109779,0.999897959987701,1.37085867754692,1.38124342531955,0.0103847477726229,0.757535984030521
validation,0,3,0.00304229891769523,0.00172812578920233,0.0194765897091363,0.0414113177938068,0.998705536833411,0.71638622412771,0.722846619925657,0.00646039579794655,0.901803465834772
test,0,1,0.00621000432032716,0.00429481721267719,0.0332871703865657,0.00910819188785221,0.99991313097888,1.55079591974758,1.55291965865588,0.00212373890830841,0.136945092598264
test,0,2,0.00693751815300588,0.00420115455313079,0.0420558436499183,0.0177314132212014,0.999712790076701,1.3575728454567,1.39520345546177,0.0376306100050769,2.77190355795734
test,0,3,0.00335045369021719,0.00200066559604816,0.0164359985050355,0.0456058744628973,0.998188673485921,0.706309092202043,0.698907321472032,0.00740177073001069,1.04795065102933
