flow_time_s,q1_rad,q2_rad,q3_rad,j1_mx,j1_center_x_m,j1_axis_x,j1_my,j1_center_y_m,j1_axis_y,j1_mz,j1_center_z_m,j1_axis_z,j1_torque_nm,j2_mx,j2_center_x_m,j2_axis_x,j2_my,j2_center_y_m,j2_axis_y,j2_mz,j2_center_z_m,j2_axis_z,j2_torque_nm,j3_mx,j3_center_x_m,j3_axis_x,j3_my,j3_center_y_m,j3_axis_y,j3_mz,j3_center_z_m,j3_axis_z,j3_torque_nm,step_index,minimum_fluid_cell_volume_m3,step_elapsed_s
0.01,-3.2297540775558474e-05,-5.3829234625930794e-05,-5.9212158088523875e-05,2.552837357522175,-0.745634,0.0,-4.276458584309678,1.155872,1.0,1.654188433282821,-1.14224,0.0,-4.276458584309678,4.516743816164213,-0.7286635988484625,-0.9999999994784344,-3.551630219573087,1.206372,0.0,4.06317004571863,-1.172083578641397,-3.229754076994338e-05,-4.516875044208642,-2.976654852443853,-0.7300227121053655,0.9999999994784344,-1.183634454933183,1.009250850089275,0.0,-2.874556780663554,-1.23118535436008,3.229754076994338e-05,-2.9767476920061515,1,3.124217917877677e-14,8.311217069625854
0.02,-0.0001291821941673033,-0.00021530365694550553,-0.00023683402264005607,0.7902086085397265,-0.745634,0.0,-1.051998312705363,1.155872,1.0,0.4236122255430005,-1.14224,0.0,-1.051998312705363,1.409705487093945,-0.7286597239799218,-0.9999999916559804,-0.9057385109546365,1.206372,0.0,1.023673699854108,-1.172081422251825,-0.00012918219380800373,-1.4098377157456254,-0.1881575457178271,-0.7300115925847743,0.9999999916559804,-0.2338021762792388,1.009262915279786,0.0,-0.5988039594391292,-1.23122606520589,0.00012918219380800373,-0.18823489895697812,2,3.124217918107648e-14,8.61508560180664
0.03,-0.00029063005533675764,-0.0004843834255612628,-0.0005328217681173891,-0.2940886907364439,-0.745634,0.0,-0.6761952145122991,1.155872,1.0,0.2317600172096053,-1.14224,0.0,-0.6761952145122991,-0.5875909694657134,-0.7286539133944077,-0.9999999577670857,-0.3258003533136456,1.206372,0.0,0.644521065993053,-1.172078187394406,-0.0002906300512453729,0.5874036274595961,1.028555136130484,-0.7299948965582636,0.9999999577670857,0.02618756115584168,1.009281026544029,0.0,-0.4341938074044424,-1.23128711135117,0.0002906300512453729,1.0284289029231068,3,3.124217917304387e-14,10.80774188041687
0.04,-0.0005166012894399712,-0.0008610021490666188,-0.0009471023639732807,-0.3096487410237469,-0.745634,0.0,-0.6882695964026032,1.155872,1.0,0.2667585203739632,-1.14224,0.0,-0.6882695964026032,-0.5246467542665679,-0.7286461691519636,-0.9999998665615568,-0.3581350934594587,1.206372,0.0,0.695025824356088,-1.172073873742766,-0.0005166012664618138,0.5242876330374358,0.5322006589714754,-0.7299726039642765,0.9999998665615568,-0.02657069056942056,1.009305200030504,0.0,-0.4451799768124519,-1.231368468640343,0.0005166012664618138,0.5319706074156233,4,3.124217917017656e-14,8.571319818496704
0.05,-0.0008070401414561884,-0.0013450669024269808,-0.0014795735926696788,-0.1366125067225679,-0.745634,0.0,-0.5494764872124505,1.155872,1.0,0.1290552616266284,-1.14224,0.0,-0.5494764872124505,-0.1480974579652619,-0.7286364939981258,-0.9999996743431228,-0.3316417598772173,1.206372,0.0,0.487408025893419,-1.172068480863911,-0.0008070400538501291,0.14770405193684222,0.0892694228278145,-0.7299446881093647,0.9999996743431228,-0.0737560888419798,1.009335457227787,0.0,-0.410510855111512,-1.231470104853627,0.0008070400538501291,0.08893809505399777,5,3.124217916886418e-14,7.9048779010772705
0.06,-0.001161874949944612,-0.0019364582499076868,-0.0021301040748984558,-0.2266601877421917,-0.745634,0.0,-0.08508829898092926,1.155872,1.0,-0.4874935646962925,-1.14224,0.0,-0.08508829898092926,-0.188978232422664,-0.728624891362904,-0.9999993250233763,-0.03330531909271393,1.206372,0.0,-0.3828378122147842,-1.172062008220072,-0.0011618746885317898,0.1894229144306,-0.04250565867458903,-0.7299111157155286,0.9999993250233763,-0.06868447312386114,1.009371824927935,0.0,-0.3555569674070492,-1.2315919796966,0.0011618746885317898,-0.042918742625024424,6,3.124217917268023e-14,7.492254734039307
0.07,-0.0015810181647257456,-0.0026350302745429097,-0.0028985333019972007,-0.960251201579677,-0.745634,0.0,1.592460024677271,1.155872,1.0,-2.987675422978151,-1.14224,0.0,1.592460024677271,-1.035772451401741,-0.7286113653595057,-0.9999987501910418,1.142607394022846,1.206372,0.0,-3.798249112836581,-1.172054455171023,-0.0015810175060688022,1.0417762552238576,-0.06246965273586556,-0.7298718469793263,0.9999987501910418,-0.02043440470867931,1.009414335180822,0.0,-0.282283201673006,-1.231734044787341,0.0015810175060688022,-0.06291586934424813,7,3.124217917169222e-14,9.420267105102539
0.08,-0.0020643663684831296,-0.0034406106141385497,-0.0037846716755524047,-8.544910072817917,-0.745634,0.0,7.205826380912687,1.155872,1.0,-11.91080177649035,-1.14224,0.0,7.205826380912687,-9.296753861442257,-0.7285959207828039,-0.999997869196505,5.442757524939893,1.206372,0.0,-15.33341153686932,-1.172045820976848,-0.002064364902229897,9.328387808494796,-0.0929691139377166,-0.729826835642706,0.999997869196505,0.09395493399038664,1.009463025239437,0.0,-0.1829279292657997,-1.231896243641277,0.002064364902229897,-0.09334654583561762,8,3.124217917591655e-14,13.50536036491394
