flow_time_s,q1_rad,q2_rad,q3_rad,j1_mx,j1_center_x_m,j1_axis_x,j1_my,j1_center_y_m,j1_axis_y,j1_mz,j1_center_z_m,j1_axis_z,j1_torque_nm,j2_mx,j2_center_x_m,j2_axis_x,j2_my,j2_center_y_m,j2_axis_y,j2_mz,j2_center_z_m,j2_axis_z,j2_torque_nm,j3_mx,j3_center_x_m,j3_axis_x,j3_my,j3_center_y_m,j3_axis_y,j3_mz,j3_center_z_m,j3_axis_z,j3_torque_nm,step_index,minimum_fluid_cell_volume_m3,step_elapsed_s
0.01,-3.2297540775558474e-05,-5.3829234625930794e-05,-5.9212158088523875e-05,0.5119950914959659,-0.745634,0.0,-15.54954682243322,1.155872,1.0,5.851727407712236,-1.14224,0.0,-15.54954682243322,0.9042102773368037,-0.7285243671615841,-0.9999999994784344,-10.31163980009607,1.206372,0.0,15.20496630959979,-1.172005907032137,-3.229754076994338e-05,-0.9047013598844886,-0.5703711801854557,-0.7296198463624479,0.9999999994784344,-2.43925144485497,1.00968726018505,0.0,-10.17826571492149,-1.23264785181659,3.229754076994338e-05,-0.5706999128398648,1,3.124217918692983e-14,9.685303449630737
0.02,-0.0001291821941673033,-0.00021530365694550553,-0.00023683402264005607,0.3859410456390385,-0.745634,0.0,-4.562974015407969,1.155872,1.0,2.046308604145024,-1.14224,0.0,-4.562974015407969,0.7663745298050638,-0.7285204922930434,-0.9999999916559804,-3.068187443997378,1.206372,0.0,4.908554931099586,-1.172003750642564,-0.00012918219380800373,-0.7670086213048464,-0.4218798102584564,-0.7296087268418567,0.9999999916559804,-0.7220826500283541,1.009699325375561,0.0,-2.638619117884657,-1.232688562662401,0.00012918219380800373,-0.4222206693445551,2,3.12421791931776e-14,9.991746664047241
0.03,-0.00029063005533675764,-0.0004843834255612628,-0.0005328217681173891,0.3856743865161398,-0.745634,0.0,-2.540756651827899,1.155872,1.0,1.017684291479714,-1.14224,0.0,-2.540756651827899,0.8211300128215858,-0.7285146817075292,-0.9999999577670857,-1.803339413696257,1.206372,0.0,2.596758533801078,-1.172000515785145,-0.0002906300512453729,-0.8218846742086229,-0.5700774010661652,-0.729592030815346,0.9999999577670857,-0.4776400071612191,1.009717436639804,0.0,-1.636837421627783,-1.232749608807681,0.0002906300512453729,-0.5705530911338632,3,3.124217918786539e-14,11.878087282180786
0.04,-0.0005166012894399712,-0.0008610021490666188,-0.0009471023639732807,1.142133551383936,-0.745634,0.0,-2.441808032469262,1.155872,1.0,-1.57205126113729,-1.14224,0.0,-2.441808032469262,0.8185701421214573,-0.7285069374650851,-0.9999998665615568,-0.8263667770814285,1.206372,0.0,1.003912310955328,-1.171996202133505,-0.0005166012664618138,-0.819088655263988,0.7721220880196253,-0.729569738221359,0.9999998665615568,-0.1501588803541934,1.009741610126279,0.0,-0.733285847041399,-1.232830966096853,0.0005166012664618138,0.7717431685915959,4,3.124217918844571e-14,12.686755180358887
0.05,-0.0008070401414561884,-0.0013450669024269808,-0.0014795735926696788,-7.996773264714521e+21,-0.745634,0.0,3.378108816623628e+21,1.155872,1.0,1.561651403008729e+21,-1.14224,0.0,3.378108816623628e+21,8.885993865340865e+21,-0.7284972623112473,-0.9999996743431228,-4.492703889786142e+21,1.206372,0.0,-2.073896104835893e+21,-1.17199080925465,-0.0008070400538501291,-8.884317254331726e+21,-6.615016324151177e+20,-0.7295418223664472,0.9999996743431228,-4.038312673235103e+19,1.009771867323562,0.0,7.884191925097718e+18,-1.232932602310137,0.0008070400538501291,-6.61495054133886e+20,5,3.124217919338098e-14,29.936815977096558
0.06,-0.001161874949944612,-0.0019364582499076868,-0.0021301040748984558,-2.197031392298811e+37,-0.745634,0.0,-1.167333769212359e+37,1.155872,1.0,1.334092154230104e+37,-1.14224,0.0,-1.167333769212359e+37,1.955372781186405e+37,-0.7284856596760255,-0.9999993250233763,-1.84478625747601e+37,1.206372,0.0,2.498740093099338e+37,-1.171984336610811,-0.0011618746885317898,-1.9582746842228789e+37,-1.147533276790996e+31,-0.729508249972611,0.9999993250233763,1.071331578053228e+32,1.00980823502371,0.0,1.187993333173816e+33,-1.23305447715311,0.0011618746885317898,-1.0095025638369423e+31,6,3.12421791891878e-14,14.155395984649658
0.07,-0.0015810181647257456,-0.0026350302745429097,-0.0028985333019972007,-1.377472658859048e+39,-0.745634,0.0,-3.083135280344138e+38,1.155872,1.0,1.188773375334967e+39,-1.14224,0.0,-3.083135280344138e+38,6.700554149501819e+38,-0.7284721336726272,-0.9999987501910418,-5.042219470192428e+38,1.206372,0.0,2.027589903781314e+39,-1.171976783561763,-0.0015810175060688022,-6.732602326419285e+38,4.198270102885842e+33,-0.7294689812364087,0.9999987501910418,1.273430463883224e+34,1.009850745276597,0.0,1.421678084965469e+35,-1.233196542243852,0.0015810175060688022,4.423034649882736e+33,7,3.124217918909285e-14,5.039098501205444
0.08,-0.0020643663684831296,-0.0034406106141385497,-0.0037846716755524047,-4.169798368673631e+40,-0.745634,0.0,-3.183062960878036e+40,1.155872,1.0,-8.938785753962603e+39,-1.14224,0.0,-3.183062960878036e+40,1.265405797737912e+40,-0.7284566890959254,-0.999997869196505,-5.252822745974036e+40,1.206372,0.0,-1.27300307055108e+40,-1.171968149367587,-0.002064364902229897,-1.2627751585475388e+40,3.767715395977816e+34,-0.7294239698997884,0.999997869196505,8.437828111298382e+34,1.009899435335212,0.0,9.317533666207937e+35,-1.233358741097788,0.002064364902229897,3.9600552624753334e+34,8,3.124217918678335e-14,7.050203800201416
