Link,Mass_kg,COM_X_m,COM_Y_m,COM_Z_m,Ixx_kgm2,Iyy_kgm2,Izz_kgm2,Ixy_kgm2,Ixz_kgm2,Iyz_kgm2,MeshVolume_m3,NeutralVolume_m3,CB_X_m,CB_Y_m,CB_Z_m,SurfaceArea_m2,ProjectedArea_X_m2,ProjectedArea_Y_m2,ProjectedArea_Z_m2,Buoyancy_N,Weight_N,NetUpwardForce_N,AllMeshesWatertight
base_link,127.84851,-5.289826e-08,0.0096044129,0.074516494,20.014444,19.377,23.15771,-5.7526144e-08,-7.2249073e-07,0.45698878,0.0473513013343287,0.124730253658537,-5.04082600145896e-08,0.00960441070312293,0.0745164928238107,5.78277508584564,1.29398067213445,0.384676535682018,1.60780486835145,476.129172742008,1254.1938831,-778.064710357992,1
link_002,0.32982793,0.0082906926,0.0080729915,0.026643313,0.00026270286,0.00021715273,0.00022125005,-4.3272029e-05,-5.9783517e-05,-6.9853028e-05,0.000122158493081154,0.000321783346341463,0.00829068947393149,0.00807304541827978,0.0266432824164797,0.0187624933725721,0.00471042735996099,0.00248886751121644,0.00341550430397451,1.22833418755428,3.2356119933,-2.00727780574572,1
link_003,1.6833734,-0.099008647,0.027997845,0.01730534,0.0010259129,0.0089635085,0.0093799411,0.0013611527,5.95968e-07,-2.7530333e-08,0.000623471621741851,0.00164231551219512,-0.0990086793848802,0.027997916930021,0.0173053112399501,0.0536184730833854,0.00504812559530879,0.0124318773637746,0.0149660644160372,6.26916302451975,16.513893054,-10.2447300294802,1
link_004,1.3666849,0.12113248,-0.02816801,-0.014934833,0.00058257624,0.0084245597,0.0084298337,0.00031026529,0.00029788443,-5.4860878e-05,0.000506179583506814,0.00133335112195122,0.121132514950784,-0.0281679823539976,-0.0149348692775307,0.0846334699796926,0.00824701625950315,0.0187166841173448,0.0243887357197395,5.08976225705689,13.407178869,-8.31741661194311,1
