Split,CaseId,Joint,RMSE_Nm,MAE_Nm,MaxAbsError_Nm,NRMSE_TrainStd,R2,ReferenceAbsPeak_Nm,PredictedAbsPeak_Nm,AbsPeakError_Nm,AbsPeakError_percent
test,2,1,0.00615589449999512,0.00510281227820347,0.0114702014632008,0.00902882920126145,0.999944706675637,1.34674579369325,1.34944264619647,0.00269685250321627,0.200249558294186
test,2,2,0.00324207242462766,0.00257355576688779,0.0066351147142801,0.00828632438665805,0.999923572042467,1.0376630867066,1.03618875306337,0.00147433364322391,0.142082113367187
test,2,3,0.00131381513469039,0.000969862780545318,0.00392795242116944,0.0178834550900061,0.999316849030349,0.626712957244257,0.624910405823608,0.00180255142064956,0.287619938253012
test,3,1,0.00393271662793294,0.00357140436925778,0.0071352764500171,0.0057681018949554,0.99996262972521,1.01092353452802,1.01242468007028,0.00150114554226377,0.148492491369749
test,3,2,0.000977053813956662,0.000834947947196674,0.00316004277816945,0.0024972251650412,0.999972318026239,0.861243299761208,0.860306430058578,0.000936869702629961,0.108781073001058
test,3,3,0.000688243931631341,0.000567170091813811,0.00178895333163209,0.00936827344830277,0.999855346358551,0.636231761166142,0.636819138989516,0.000587377823374369,0.0923213613696007
test,4,1,0.00328907161687736,0.00270130712864269,0.00764978213792089,0.0048240699803296,0.999953152338349,0.816875269140777,0.812786431278736,0.00408883786204117,0.50054616861421
test,4,2,0.00264060821527968,0.00164168035239671,0.0110018410029965,0.00674905843671723,0.999939055500682,1.02834236663794,1.03052606027097,0.0021836936330224,0.212350837995886
test,4,3,0.00135064213940766,0.000986216073429671,0.00403337677096127,0.018384738769552,0.995086335391959,0.616982756590539,0.6148687704914,0.00211398609913949,0.342632930427655
test,5,1,0.00315186598949015,0.00290682858513641,0.00469779651691749,0.00462283096053613,0.999956408161156,0.770804683242214,0.768657547158016,0.00214713608419759,0.278557737242352
test,5,2,0.00269030907156978,0.00187317393005078,0.00801785584058967,0.00687608749824777,0.999875196545771,1.00355762656614,1.01138656761447,0.00782894104833609,0.780118733701849
test,5,3,0.00110319092363548,0.000886949630951764,0.00219052894391614,0.0150164698347662,0.995826533564921,0.611847374030841,0.6119551428814,0.000107768850558965,0.0176136819627067
test,6,1,0.00206304503093293,0.00170758780181728,0.00473228991982177,0.00302586102130557,0.999984834937766,0.850576648316451,0.854323235848363,0.00374658753191259,0.440476180403991
test,6,2,0.00130593024736074,0.00109511873304921,0.00250733922266044,0.00333779146134357,0.999960312736559,1.01485924760666,1.0150842461929,0.000224998586232372,0.0221704228209956
